Scenario_Model,AUC_mean,AUC_std,Sensitivity,Specificity,F1,BalancedAcc,Class0_F1,Class1_F1
RadOnly_Tversky_Top10__LogisticRegression,0.49649470899470893,0.16905124156720125,0.4146341463414634,0.8125,0.5573770491803278,0.6135670731707317,0.49056603773584906,0.5573770491803278
Clin+Rad_Focal_Top10__GradientBoosting,0.49576719576719575,0.10585717769943968,0.6585365853658537,0.5,0.7105263157894737,0.5792682926829269,0.4210526315789474,0.7105263157894737
Clin+Rad_Focal_Top20__DecisionTree,0.4946428571428571,0.14726393111316666,0.0,1.0,0.0,0.5,0.4383561643835616,0.0
Clin+Rad_GDice_Top20__RandomForest,0.4934193121693122,0.21366324976923673,0.34146341463414637,0.8125,0.48275862068965514,0.5769817073170732,0.46428571428571436,0.48275862068965514
Clin+Rad_GDice_Top20__DecisionTree,0.49325396825396817,0.16426055132806586,0.0,1.0,0.0,0.5,0.4383561643835616,0.0
RadOnly_Dice_Top10__SVM_Linear,0.49289021164021163,0.12967138068058842,0.4634146341463415,0.6875,0.5846153846153846,0.5754573170731707,0.4489795918367347,0.5846153846153846
RadOnly_Dice_Top20__MLP,0.4927910052910052,0.11680321107682717,0.17073170731707318,0.9375,0.28571428571428575,0.5541158536585366,0.46153846153846156,0.28571428571428575
RadOnly_AdaptiveRegional_Top10__GaussianNB,0.49196428571428574,0.1955307564220501,0.9024390243902439,0.125,0.8043478260869564,0.5137195121951219,0.18181818181818182,0.8043478260869564
RadOnly_GDice_Top10__SVM_Linear,0.4909391534391535,0.17952878780267476,0.4634146341463415,0.6875,0.5846153846153846,0.5754573170731707,0.4489795918367347,0.5846153846153846
RadOnly_BCEFocalTversky_Top20__DecisionTree,0.4904761904761905,0.2144708195216866,0.7073170731707317,0.3125,0.7160493827160495,0.5099085365853658,0.30303030303030304,0.7160493827160495
RadOnly_Focal_Top10__ExtraTrees,0.48964947089947086,0.10375146107045065,0.8292682926829268,0.3125,0.7906976744186047,0.5708841463414633,0.35714285714285715,0.7906976744186047
RadOnly_BCEDice_Top50__RandomForest,0.48938492063492056,0.15056164273826972,0.8292682926829268,0.3125,0.7906976744186047,0.5708841463414633,0.35714285714285715,0.7906976744186047
RadOnly_Focal_Top20__LogisticRegression,0.48931878306878307,0.10863986599011122,0.3170731707317073,0.8125,0.45614035087719296,0.5647865853658537,0.45614035087719296,0.45614035087719296
RadOnly_AdaptiveRegional_Top50__SVM_Linear,0.48809523809523814,0.19564337210889254,0.9512195121951219,0.125,0.8297872340425531,0.538109756097561,0.2,0.8297872340425531
RadOnly_AdaptiveRegional_Top50__GaussianNB,0.4872685185185185,0.17379311447589582,0.36585365853658536,0.75,0.4999999999999999,0.5579268292682926,0.44444444444444436,0.4999999999999999
RadOnly_GDice_Top20__RandomForest,0.4866071428571429,0.1792793507376324,0.9024390243902439,0.1875,0.8131868131868132,0.5449695121951219,0.26086956521739124,0.8131868131868132
Clin+Rad_BCEDice_Top10__DecisionTree,0.48630952380952375,0.2127317256546968,0.0,1.0,0.0,0.5,0.4383561643835616,0.0
RadOnly_FocalTversky_Top10__LogisticRegression,0.4861441798941799,0.1481688294568724,0.14634146341463414,0.9375,0.25,0.541920731707317,0.45454545454545453,0.25
RadOnly_GDice_Top10__DecisionTree,0.48531746031746026,0.11088660709097899,0.0,1.0,0.0,0.5,0.4383561643835616,0.0
Clin+Rad_Tversky_Top10__GaussianNB,0.48473875661375665,0.28319162278331905,0.6341463414634146,0.5625,0.7027027027027027,0.5983231707317074,0.45,0.7027027027027027
RadOnly_Dice_Top50__GaussianNB,0.48417658730158736,0.12990203012544885,0.9512195121951219,0.125,0.8297872340425531,0.538109756097561,0.2,0.8297872340425531
Clin+Rad_GDice_Top20__GaussianNB,0.483912037037037,0.28970358251770717,0.975609756097561,0.125,0.8421052631578947,0.5503048780487805,0.21052631578947367,0.8421052631578947
RadOnly_Tversky_Top20__SVM_RBF,0.48376322751322753,0.14238007926900847,0.8292682926829268,0.25,0.7816091954022988,0.5396341463414633,0.2962962962962963,0.7816091954022988
RadOnly_BCEFocalTversky_Top20__LogisticRegression,0.48349867724867723,0.11538458050334731,0.2682926829268293,0.875,0.4074074074074075,0.5716463414634146,0.4666666666666667,0.4074074074074075
