Strategy,N_Models,AUC_mean,AUC_std,AUC_min,AUC_max,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,BalancedAcc_mean,BalancedAcc_std
Baseline,12,0.7513930224867726,0.051004593916353494,0.6466104497354498,0.8159722222222221,0.7276422764227642,0.13907819137653618,0.7447916666666666,0.09776745562193935,0.7362169715447154,0.0425335155331646
Weighted,12,0.6849578373015873,0.11030361277970638,0.5111111111111111,0.8081349206349208,0.6260162601626016,0.2862057368285221,0.7395833333333334,0.1595299677366626,0.6827997967479674,0.08435755874064864
SMOTE,12,0.6920938051146385,0.10797204334577865,0.49021164021164026,0.8424603174603174,0.6544715447154471,0.26306812499777943,0.7083333333333334,0.2104063528825433,0.6814024390243901,0.0849248437807188
